id_sensor,timestamp,temperatura_c,voltaje_v,corriente_ma,estado
S04,2026-08-01 07:20:00,38.13,5.128,99.5, Ok
S02,2026-08-01 07:21:00,41.26,4.88,109.2,OK
S01,2026-08-01 07:22:00,32.39,5.095,144.6, Ok
S02,2026-08-01 07:23:00,32.82,4.998,107.2,OK
S03,2026-08-01 07:24:00,32.6,4.794,132.8, Falla
S03,2026-08-01 07:25:00,38.95,4.953,109.2, Ok
S02,2026-08-01 07:26:00,42.49,5.055,125.0,ok 
S04,2026-08-01 07:27:00,32.71,5.092,117.2, Ok
S03,2026-08-01 07:28:00,32.88,4.979,137.5,OK
S02,2026-08-01 07:29:00,36.57,5.23,109.3,ok 
S04,2026-08-01 07:30:00,33.77,5.151,88.5, Ok
S04,2026-08-01 07:31:00,39.76,4.962,92.4,ok 
S02,2026-08-01 07:32:00,23.74,5.113,109.4, Ok
S01,2026-08-01 07:33:00,30.87,5.29,95.0,ok 
S03,2026-08-01 07:34:00,31.09,5.294,128.2, Ok
S03,2026-08-01 07:35:00,23.4,4.816,110.7,ok 
S01,2026-08-01 07:36:00,30.18,4.861,167.5,falla
S03,2026-08-01 07:37:00,30.42,5.223,85.2,OK
S04,2026-08-01 07:38:00,33.99,4.841,124.1,OK
S01,2026-08-01 07:39:00,40.56,4.802,97.4,OK
S03,2026-08-01 07:40:00,33.77,4.927,110.1, Ok
S01,2026-08-01 07:41:00,29.85,5.063,122.8,OK
S03,2026-08-01 07:42:00,34.72,4.985,73.5,OK
S02,2026-08-01 07:43:00,40.25,4.902,124.7, Ok
S01,2026-08-01 07:44:00,30.12,4.899,158.1,ok 
S04,2026-08-01 07:45:00,30.45,4.893,110.9,OK
S01,2026-08-01 07:46:00,37.79,4.868,125.2,OK
S03,2026-08-01 07:47:00,33.89,5.342,140.5,OK
S01,2026-08-01 07:48:00,38.24,5.045,116.7, Ok
S04,2026-08-01 07:49:00,34.93,5.133,108.4,ok 
S03,2026-08-01 07:50:00,38.51,4.927,74.5, Ok
S04,2026-08-01 07:51:00,29.82,4.972,132.8,OK
S02,2026-08-01 07:52:00,34.94,4.893,117.7,ok 
S02,2026-08-01 07:53:00,33.95,4.602,99.7,OK
S03,2026-08-01 07:54:00,28.92,"4,793",122.5,ok 
S04,2026-08-01 07:55:00,27.18,4.728,108.3,ok 
S04,2026-08-01 07:56:00,38.43,4.663,109.4, Ok
S01,2026-08-01 07:57:00,33.25,4.821,132.1,ok 
S03,2026-08-01 07:58:00,29.89,5.199,93.2, Ok
S01,2026-08-01 07:59:00,34.52,4.993,140.9,ok 
S02,2026-08-01 08:00:00,40.64,5.194,92.0,OK
S04,2026-08-01 08:01:00,23.6,5.062,106.7, Ok
S02,2026-08-01 08:02:00,27.52,5.117,158.5,ok 
S04,2026-08-01 08:03:00,30.39,4.865,142.5,OK
S02,2026-08-01 08:04:00,42.31,5.079,122.0, Ok
S01,2026-08-01 08:05:00,36.41,5.109,101.2, Ok
S02,2026-08-01 08:06:00,38.84,4.914,109.4,OK
S03,2026-08-01 08:07:00,29.3,5.084,121.5, Ok
S04,2026-08-01 08:08:00,29.4,5.085,120.8, Ok
S03,2026-08-01 08:09:00,37.24,4.918,118.2, Ok
S04,2026-08-01 08:10:00,35.29,4.832,119.4,OK
S04,2026-08-01 08:11:00,37.74,4.822,115.7,FALLA
S04,2026-08-01 08:12:00,34.06,5.013,91.2,ok 
S03,2026-08-01 08:13:00,36.39,N/A,109.7,ok 
S02,2026-08-01 08:14:00,35.79,4.881,138.3,ok 
S02,2026-08-01 08:15:00,38.89,5.004,92.6,ok 
S01,2026-08-01 08:16:00,39.04,5.086,116.2,ok 
S02,2026-08-01 08:17:00,26.9,5.093,103.6, Ok
S04,2026-08-01 08:18:00,23.76,5.233,122.2,ok 
S02,2026-08-01 08:19:00,40.01,5.192,112.2,OK
S04,2026-08-01 06:01:00,41.37,5.09,145.3,OK
S01,2026-08-01 01:13:00,39.14,4.906,131.3,OK
S04,2026-08-01 06:14:00,28.59,5.012,130.6, Ok
S03,2026-08-01 02:35:00,38.8,4.899,132.1, Falla
S04,2026-08-01 01:44:00,24.68,5.055,166.2,OK
S03,2026-08-01 06:34:00,33.57,5.193,141.7, Ok
S03,2026-08-01 06:17:00,31.93,5.053,126.5, Ok
S04,2026-08-01 02:04:00,42.41,5.125,127.5, Ok
S01,2026-08-01 01:08:00,43.66,5.033,113.0, Ok
S04,2026-08-01 07:30:00,33.77,5.151,88.5, Ok
